 REG_CIS       NAZOV                                       JCM11         MNOZ
3654           SALAMA TORNADO                                  0.0000    0.00
36541          Debrecinska öunka 100g                          0.0000    0.00
36547          PIKADOR KLOBASA                                 0.0000    0.00
36548          LOVECKA SALAMA TAURIS                           0.0000    0.00
36549          UDENA PANENKA                                   0.0000    0.00
365491         PANGACIUS 5%                                    0.0000    0.00
3655           VYSOCINA 75G                                    0.0000    0.00
36550          Dusen· öunka 70g                                0.0000    0.00
3656           LIPTOVSKA SALAMA                                0.0000    0.00
3657           MEISTERMIX MX V1276                             0.0000    0.00
36574          HYDINOVE PARKY                                  0.0000    0.00
3658           KARFIOL MR.                                     0.0000    0.00
3659           LISTKOVE CESTO                                  0.0000    0.00
36597          UDENA PANENKA                                   0.0000    0.00
3660           HYDINOVE CIGARO                                 0.0000    0.00
3661           TELACIE PLECE MR.                               0.0000    0.00
3662           Hydinova kuracia kapsa                          0.0000    0.00
3663           Paprika sladka                                  0.0000    0.00
3665           Hov.predne -krk- mrazene                        0.0000    0.00
3666           KUKURICA MRAZENA                                0.0000    0.00
3667           SCHWARTIN K V3369                               0.0000    0.00
3668           OLEO PAPRIKA                                    0.0000    0.00
3670           NAREZ V A SPIKU                                 0.0000    0.00
3671           Presovsky kabanos                               0.0000    0.00
3672           Sunka prosciuttoo                               0.0000    0.00
3674           Vianocna klobasa                                0.0000    0.00
3675           Nitran 100g                                     0.0000    0.00
3676           HOV.SVIECKOVA MRAZ.                             0.0000    0.00
3677           Kacacie prsia                                   0.0000    0.00
3678           Kacaci sadlo                                    0.0000    0.00
3679           Dusen· öunka 80g                                0.0000    0.00
368            RICHTARSKA POCHUTKA                             0.0000    0.00
3680           hOV.CHVOST                                      0.0000    0.00
3681           kACACIA PECEN-VYROBA                            0.0000    0.00
3682           JELENIE NA GULAS                                0.0000    0.00
3683           HOVADZIA PECEN MRAZENA                          0.0000    0.00
3685           UDENE MASO                                      0.0000    0.00
3686           PIROHY ZEMIAKOVO BRYNDZOVE                      0.0000    0.00
3687           SAMPIONY KRAJANE MRAZ.                          0.0000    0.00
3689           JARNA ZMES                                      0.0000    0.00
369            Sunka prazska                                   0.0000    0.00
3690           PETRZLENOVA VNAT                                0.0000    0.00
3692           HYDINOVE MLETE MASO MRAZENE                     0.0000    0.00
3693           SPARGLA                                         0.0000    0.00
3694           SURIMI TYCINKY                                  0.0000    0.00
36947          TELACIE MASO                                    0.0000    0.00
36948          KURACIA KLOBASA                                 0.0000    0.00
3695           OLEJ VENUSZ                                     0.0000    0.00
36952          MOJMIROVSKY UHERAK                              0.0000    0.00
36957          VAKUOVE SACKY 300/300                           0.0000    0.00
3696           Hov.jazyk                                       0.0000    0.00
3697           hYDINOVE SPEKACKY                               0.0000    0.00
36971          SLANINA NA OPEKANIE                             0.0000    0.00
3698           RUBINOLA                                        0.0000    0.00
36986          Tenka klobasa                                   0.0000    0.00
369874         Sunka hydinova bezlepkova                       0.0000    0.00
3699           SUNKOVA SAL.PORCOVANA 100g                      0.0000    0.00
370            KURA                                            0.0000    0.00
3700           Salama kapiova 100g                             0.0000    0.00
3701           KOPOR                                           0.0000    0.00
3702           SUNKOVA PENA                                    0.0000    0.00
3703           PECENOVY HYD.SYR                                0.0000    0.00
3704           PIZZA                                           0.0000    0.00
3705           SALAMA CINGOVSKA 100g                           0.0000    0.00
3706           PRINC 75g                                       0.0000    0.00
3707           Dusen· öunka-porcovan·                          0.0000    0.00
3709           KURACIE PRSIA TB MRAZENE                        0.0000    0.00
371            MALOKARPATSKA 75G                               0.0000    0.00
3710           HYDINOVA TLACENKA 100g                          0.0000    0.00
3711           MORTADELLA                                      0.0000    0.00
37112          HOV. LOJ                                        0.0000    0.00
3712           HRASOK S KAROTKOU                               0.0000    0.00
3713           Bratislavsk· hydinov· sal·ma                    0.0000    0.00
3714           KACACIA MAST                                    0.0000    0.00
3715           VLASSKY SALAT 140g                              0.0000    0.00
3716           PARKY PRE DETI                                  0.0000    0.00
3717           SUNKOVA SALAMA                                  0.0000    0.00
372            Malokarpatska 50g                               0.0000    0.00
373            ORAVSKA SLANINA 100G                            0.0000    0.00
374            Udene plece                                     0.0000    0.00
375            MADARSKA ZMES                                   0.0000    0.00
377            HYDINOVA JEMNA SALAMA 100g                      0.0000    0.00
379            KURACIE STEHNA TB MRAZ.                         0.0000    0.00
380            HYDINOVA NATIERKA S MEDVED.CESNAKOM             0.0000    0.00
381            HUSACIA PECEN VYKRMENA                          0.0000    0.00
39             HOV.DRZKY PREDVARENE MR.                        0.0000    0.00
4              VYSOCINA TAURIS                                 0.0000    0.00
4587           UM.CREVA 50mm                                   0.0000    0.00
4796           ZELENIN.ZMES                                    0.0000    0.00
5              KAPOR                                           0.0000    0.00
5236           POLICAN SAL.TMV                                 0.0000    0.00
5466486        hydinova tocena salama                          0.0000    0.00
56874          kuracie horne stehno kalib. mrazene             0.0000    0.00
6              KOREN.LAK                                       0.0000    0.00
61247          UDENE KARE S KOZOU                              0.0000    0.00
61248          KURACIE STVRTE ZADNE                            0.0000    0.00
6321           BratislavskÈ p·rky VB                           0.0000    0.00
63214          Dusen· öunka v˝berov·                           0.0000    0.00
6325           Sunka special                                   0.0000    0.00
6523           Klobasa mangalica                               0.0000    0.00
654            KMIN                                            0.0000    0.00
65498          majka 115g                                      0.0000    0.00
6598           HOV.SRDCE                                       0.0000    0.00
65984          LOSOS 150G                                      0.0000    0.00
65987          POHRONSKA KLOBASA                               0.0000    0.00
6599           UHERAK MIK                                      0.0000    0.00
6600           SPENAT PRETLAK                                  0.0000    0.00
6601           Flamenco sal·ma                                 0.0000    0.00
693            ZELENE LUSKY KRAJANE MRAZ.                      0.0000    0.00
6947           Chlebickova sunka                               0.0000    0.00
695            Hov.drzky 2kg                                   0.0000    0.00
6954           Ryba Tilapia                                    0.0000    0.00
698            JARNA ZMES                                      0.0000    0.00
6985           Srna -stehno                                    0.0000    0.00
698547         PIZZA 320g                                      0.0000    0.00
6988           TECHNICKE KOSTI                                 0.0000    0.00
7              MOCHOVSKA ZEL.ZMES MRAZ.                        0.0000    0.00
78596          Salama so syrom                                 0.0000    0.00
8,58801E+12    SKVARENA BRAV.MAST 500g                         0.0000    0.00
81002          UM. CREVA 45MM                                  0.0000    0.00
81003          UM.CREVA NA TLAC.                               0.0000    0.00
81005          UM.CREVA 55                                     0.0000    0.00
81007          UMELE CREVA 65                                  0.0000    0.00
81101          HOV. PECEN Z BYKA                               0.0000    0.00
83107          BravËovÈ vn˙tornosti                            0.0000    0.00
83115          PSTRUH MRAZENY                                  0.0000    0.00
8888           KARE S KOSTOU                                   0.0000    0.00
8889           KARE S KOSTOU A SVIECKOVOU                      0.0000    0.00
9330           SALIANSKA SUCHA KLOB.                           0.0000    0.00
93301          BravËov· masù                                   0.0000    0.00
93302          OSKVARKY                                        0.0000    0.00
93304          HYD.TLACENKA                                    0.0000    0.00
93308          SUNKOVY NAREZ MMVc                              0.0000    0.00
93309          KOLIENKOVA ROLADA MMV                           0.0000    0.00
93310          Dingo                                           0.0000    0.00
93311          UD.HOV.JAZYK                                    0.0000    0.00
93314          BratislavskÈ p·rky                              0.0000    0.00
93316          PARIZER                                         0.0000    0.00
93317          Dekora krk                                      0.0000    0.00
93319          ORAVSKA SLANINA SSM par51ods.1.                 0.0000    0.00
93321          SUNKOVA SAL MIK                                 0.0000    0.00
93324          BravËov· klob·sa MIK                            0.0000    0.00
93325          UD.STEHNO S KOSTOU                              0.0000    0.00
93326          BravËov· masù 1/2kg                             0.0000    0.00
93327          HYDINOVA SEKANA MIK                             0.0000    0.00
93328          KURACIA SVIECKOVA                               0.0000    0.00
9333           MARINOVANA KRKOVICKA                            0.0000    0.00
93331          PLNENY BOK                                      0.0000    0.00
93332          »ingovsk· sal·ma                                0.0000    0.00
93334          PRE PSA                                         0.0000    0.00
93340          VIEDENSKE PARKY                                 0.0000    0.00
93341          SPICKE PARKY                                    0.0000    0.00
93343          KRALOVSKA PANENKA                               0.0000    0.00
93361          KURA MRAZ.1200G                                 0.0000    0.00
